epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,922.74,1.55979,7.6577,1.93135,0.39689,0.15626,0.15821,0.07996,1.72864,7.42384,2.67267,5.712e-05,5.712e-05,5.712e-05
2,2381.21,1.39259,6.47143,1.83212,0.18552,0.22425,0.19836,0.0972,1.57909,6.93361,2.35617,0.000116644,0.000116644,0.000116644
3,5452.11,1.2292,6.64611,1.69147,0.37672,0.23821,0.19597,0.12275,1.43601,6.01498,2.02638,0.000173717,0.000173717,0.000173717
4,6305.06,1.30404,5.2386,1.62855,0.57519,0.16805,0.22846,0.13204,1.35808,5.39509,1.80558,0.00022834,0.00022834,0.00022834
5,13822.7,1.12514,4.65803,1.53485,0.33373,0.25705,0.27419,0.16467,1.33364,4.62688,1.77195,0.000280513,0.000280513,0.000280513
6,87007.8,1.15734,4.30303,1.51793,0.64806,0.28767,0.30769,0.19926,1.33391,3.90684,1.73088,0.000330235,0.000330235,0.000330235
7,87948.9,1.06573,3.59417,1.49967,0.70608,0.28305,0.28021,0.18736,1.31096,3.90222,1.66569,0.000377506,0.000377506,0.000377506
8,88830.8,1.1042,2.99892,1.50678,0.3651,0.32404,0.28207,0.20354,1.4706,3.05073,1.67705,0.000410026,0.000410026,0.000410026
9,89941.8,1.14584,2.46553,1.5817,0.41957,0.34081,0.31188,0.22183,1.38216,3.11817,1.65125,0.000400602,0.000400602,0.000400602
10,90774.7,1.04932,1.89598,1.45688,0.50327,0.38159,0.35435,0.24283,1.41984,3.64029,1.60007,0.000391177,0.000391177,0.000391177
11,91842,1.09597,1.75261,1.50681,0.50359,0.41801,0.42234,0.3182,1.36331,3.3127,1.59284,0.000381752,0.000381752,0.000381752
12,92608.6,0.97701,1.73373,1.46489,0.5568,0.4164,0.45055,0.34702,1.26693,2.33279,1.5012,0.000372327,0.000372327,0.000372327
13,93429,0.96597,1.56787,1.4572,0.54128,0.44387,0.46215,0.35841,1.24879,2.06459,1.48643,0.000362902,0.000362902,0.000362902
14,94137.4,0.96817,1.42365,1.40513,0.49195,0.56863,0.49863,0.37262,1.21164,1.82885,1.47306,0.000353478,0.000353478,0.000353478
15,94964.7,0.93203,1.43975,1.38081,0.49204,0.63457,0.52728,0.39729,1.19577,1.74179,1.46557,0.000344053,0.000344053,0.000344053
16,95527,0.89669,1.48455,1.39779,0.53307,0.54986,0.52549,0.38527,1.18088,1.71671,1.46711,0.000334628,0.000334628,0.000334628
